id,category,subcategory,topic_title,details,last_update,reference_source,keywords,note
CMEX-0000,Static Data,Contact Information,เบอร์ติดต่อศูนย์เวชศาสตร์ผู้สูงอายุ,"หน่วยงานและเบอร์ติดต่อภายในศูนย์เวชศาสตร์ผู้สูงอายุ: ประชาสัมพันธ์ 053920666 (08.00-20.00), เภสัชกรรม 053920610 (08.00-20.00), หน่วยการเงิน 053920612 (08.00-20.00), หน่วยปฏิบัติการชันสูตร (Lab) 053920608 (08.00-20.00), หน่วยรังสี (X-Ray) 053920629 (08.00-20.00), ศูนย์ทันตกรรมผู้สูงอายุ 053920638 (08.00-20.00), หน่วยธุรการ 053920613 (09.00-17.00), หน่วยโภชนาการ 053920618 (06.00-18.00), แผนกผู้ป่วยใน 4 053920692, แผนกผู้ป่วยใน 5 053062625, ศูนย์วิเคราะห์การนอนหลับ 053920660 (08.00-16.00)",30/1/26,User provided (CMEx contact list),"เบอร์ติดต่อ,ศูนย์เวชศาสตร์ผู้สูงอายุ,โทรศัพท์,เวลาเปิดปิด,แผนก,ผู้ป่วยใน,lab,x-ray,ทันตกรรม,CMEx",
CMEX-0001,Static Data,Services / Departments,บริการของศูนย์ / แผนกที่มีให้บริการ,"หน่วย/บริการที่มีให้บริการ:
- เวชระเบียน
- ห้อง lab
- การเงิน
- ห้องยา
- OPD CMEx ชั้น 3
- CHC ชั้น 6",30/1/26,User provided (CMEx info),"บริการ,แผนก,เวชระเบียน,lab,การเงิน,ห้องยา,OPD,CHC,ชั้น3,ชั้น6,CMEx",
CMEX-0002,Static Data,Location & Hours,ที่ตั้งอาคาร / เวลาเปิด-ปิดปกติ,"ที่ตั้ง: 110 ถนนอินทวโรรส ซอย 2 อำเภอเมือง จังหวัดเชียงใหม่ 50200
เวลาเปิดทำการ:
- จันทร์–ศุกร์ 08:00–20:00
- เสาร์–อาทิตย์ 08:00–16:00",30/1/26,User provided (CMEx info),"ที่ตั้ง,ที่อยู่,เวลาเปิด,เวลาปิด,จันทร์,ศุกร์,เสาร์,อาทิตย์,เชียงใหม่,CMEx",
CMEX-0003,Static Data,Contacts & Appointment Channels,เบอร์ติดต่อ / ช่องทางการนัด,"โทร: 053-934742, 053-934710
LINE: @cmexcmu
Facebook: ศูนย์ความเป็นเลิศทางการแพทย์ Center for Medical Excellence",30/1/26,User provided (CMEx info),"ติดต่อ,โทร,เบอร์โทร,LINE,@cmexcmu,Facebook,นัดหมาย,ช่องทาง,CMEx",
CMEX-0004,Static Data,Billing / Reimbursement Policy,นโยบายสิทธิ์การเบิกจ่าย,"ช่องทางสิทธิ์/การชำระ:
- ข้าราชการ (เบิกตรง, อปท)
- รัฐวิสาหกิจ: PEA, ครูเอกชน, AOT, Egrat, BOT, ประปา
- เงินสด
- สิทธิ์ประกันชีวิต: แนบใบค่าใช้จ่าย, ใบกรมธรรม์, ใบรับรองแพทย์, ใบเสร็จรับเงิน (เคลมด้วยตนเอง)",30/1/26,User provided (CMEx info),"สิทธิ์,เบิกจ่าย,ข้าราชการ,เบิกตรง,อปท,รัฐวิสาหกิจ,PEA,AOT,BOT,ประปา,เงินสด,ประกันชีวิต,เคลม",
CMEX-0005,Static Data,Basic Fees,อัตราค่าบริการพื้นฐาน,"อัตราค่าบริการ (เบื้องต้น):
- ค่าบริการ 250 บาท
- ค่าแพทย์ 100–500 บาท
- ค่าบริการเจาะเลือด 50 บาท
- ค่าบริการเอกซเรย์ 50 บาท
- ค่าบริการ EKG 50 บาท
- ค่าบริการ US 50 บาท
- ค่าบริการ Shockwave 50 บาท
- ค่าบริการทางการพยาบาล 50 บาท",30/1/26,User provided (CMEx info),"ค่าบริการ,ราคา,ค่าแพทย์,เจาะเลือด,เอกซเรย์,X-ray,EKG,US,Shockwave,พยาบาล,250,50,100-500",ในข้อความต้นฉบับมีหัวข้ออัตราค่าบริการซ้ำ 2 ครั้ง จึงรวมเป็นรายการเดียว
CMEX-0006,Static Data,Annual Checkup Packages,รายการตรวจสุขภาพประจำปี (โปรแกรม/ราคา),"การตรวจสุขภาพโดยการเจาะเลือด แบ่งเป็น 9 โปรแกรม:
- Bronze: ตรวจสุขภาพขั้นพื้นฐาน (แนะนำอายุ < 35 ปี) ราคา 1,830 บาท
- Silver: ตรวจโรคเรื้อรัง (เหมาะกับผู้ที่มีอายุ > 35 ปี) ราคา 2,870 บาท
- Gold for gentleman: ตรวจคัดกรองมะเร็งเพศชาย ราคา 4,730 บาท
- Gold for women: ตรวจคัดกรองมะเร็งเพศหญิง ราคา 5,090 บาท
- Platinum: ตรวจหาไวรัสและการทำงานต่อมไทรอยด์ ราคา 4,730 บาท
- Diamond for Gentleman: ตรวจสุขภาพแบบเหมารวม เพศชาย ราคา 7,730 บาท
- Diamond for Women: ตรวจสุขภาพแบบเหมารวม เพศหญิง ราคา 7,730 บาท
- Diabetic: ตรวจสำหรับโรคเบาหวาน ราคา 2,290 บาท
- Kidney: ตรวจสำหรับโรคไต ราคา 1,880 บาท",30/1/26,User provided (CMEx info),"ตรวจสุขภาพ,แพ็คเกจ,โปรแกรม,Bronze,Silver,Gold,Platinum,Diamond,Diabetic,Kidney,ราคา",เป็นข้อมูลแบบรายปี ควรอัปเดตราคา/โปรแกรมตามประกาศปีล่าสุด
CMEX-0007,Static Data,Doctors & Specialties,รายชื่อแพทย์ประจำ: อายุรกรรมทั่วไป (General Medicine),"รายชื่อแพทย์:
- พญ.สมหญิง ดำนิล — Somying Dumnil, MD.
- นพ.ธีร์นวัช เกียรติไชยากร — Teenawat Kiachaiyakorn, MD.
- พญ.ฟาติมา อิทธิฤทธิพันธุ์ — Fatima Itiritiphan, MD.",30/1/26,User provided (CMEx info),"แพทย์,รายชื่อแพทย์,ความเชี่ยวชาญ,อายุรกรรมทั่วไป,CMEx",
CMEX-0008,Static Data,Doctors & Specialties,รายชื่อแพทย์ประจำ: เวชศาสตร์ครอบครัว (Family Medicine),"รายชื่อแพทย์:
- นพ.ภาสวิชญ์ จวงทอง — Passavich Joungthong, MD.
- พญ.พิมลพรรณ รัตนพัฒนากุล — Pimonpan Rattanapattanakul, MD.",30/1/26,User provided (CMEx info),"แพทย์,รายชื่อแพทย์,ความเชี่ยวชาญ,เวชศาสตร์ครอบครัว,CMEx",
CMEX-0009,Static Data,Doctors & Specialties,รายชื่อแพทย์ประจำ: เวชศาสตร์ฟื้นฟู (Rehabilitation Medicine),"รายชื่อแพทย์:
- นพ.พิชญ์ หรรษาศิริพจน์ — Phit Hansasiriphot, MD.",30/1/26,User provided (CMEx info),"แพทย์,รายชื่อแพทย์,ความเชี่ยวชาญ,เวชศาสตร์ฟื้นฟู,CMEx",
